Kullanım Durumu,Tipi,Binanın Yaşı,Binanın Kat Sayısı,Net Metrekare,Brüt Metrekare,Bulunduğu Kat,Site İçerisinde,Isıtma Tipi,Banyo Sayısı,Oda Sayısı,Balkon Durumu,Aidat,Fiyat,Ilce,Mahalle
Boş,Daire,21 Ve Üzeri,4,120,130,3.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,20500.0,Sincan,Osmanlı Mahallesi
Boş,Daire,0 (Yeni),4,120,130,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,25000.0,Sincan,Fevzi Çakmak Mahallesi
Boş,Daire,0 (Yeni),4,55,60,4.Kat,Hayır,Merkezi Doğalgaz,1,2+1,Var,850.0,45000.0,Çankaya,Konutkent Mahallesi
Boş,Daire,11-15,5,105,120,3.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,500.0,25000.0,Sincan,29 Ekim Mahallesi
Boş,Daire,16-20,4,130,140,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,19500.0,Sincan,Malazgirt Mahallesi
Boş,Daire,5-10,4,115,120,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,16000.0,Mamak,Ekin Mahallesi
Boş,Daire,21 Ve Üzeri,5,85,100,Kot 1 (-1).Kat,Evet,Kombi Doğalgaz,1,2+1,Var,250.0,30000.0,Çankaya,Kırkkonaklar Mahallesi
Boş,Daire,21 Ve Üzeri,5,100,115,4.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,600.0,30000.0,Yenimahalle,Kardelen Mahallesi
Boş,Daire,5-10,3,120,130,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,23000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,0 (Yeni),3,110,115,3.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,35000.0,Keçiören,Şefkat Mahallesi
Boş,Daire,21 Ve Üzeri,8,117,125,6.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,900.0,28000.0,Etimesgut,Yavuz Selim Mahallesi
Boş,Daire,5-10,2,180,200,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,100.0,25000.0,Keçiören,Etlik Mahallesi
Boş,Daire,11-15,8,115,130,8.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,30000.0,Sincan,Tandoğan Mahallesi
Boş,Daire,11-15,2,125,135,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,200.0,35000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,0 (Yeni),13,125,135,2.Kat,Hayır,Merkezi (Pay Ölçer),2,3+1,Var,200.0,35000.0,Sincan,Mevlana Mahallesi
Boş,Daire,5-10,4,115,125,2.Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,200.0,30000.0,Sincan,Gökçek Mahallesi
Boş,Daire,21 Ve Üzeri,4,75,85,1.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,50.0,16000.0,Keçiören,Bağlarbaşı Mahallesi
Boş,Daire,21 Ve Üzeri,3,65,70,2.Kat,Hayır,Kombi Doğalgaz,2,1+1,Var,1250.0,32000.0,Çankaya,Birlik Mahallesi
Boş,Daire,16-20,4,125,126,4.Kat,Evet,Kombi Doğalgaz,1,3+1,Var,450.0,29000.0,Keçiören,Ayvalı Mahallesi
Boş,Daire,5-10,12,130,150,Kot 1 (-1).Kat,Hayır,Kombi Doğalgaz,2,3+1,Var,150.0,25750.0,Mamak,Durali Alıç Mahallesi
Boş,Daire,16-20,4,55,65,2.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Var,150.0,12500.0,Mamak,Zirvekent Mahallesi
Boş,Daire,21 Ve Üzeri,3,94,104,2.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,150.0,25000.0,Keçiören,Basınevleri Mahallesi
Boş,Daire,21 Ve Üzeri,8,54,59,2.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Var,1665.0,22750.0,Yenimahalle,Serhat Mahallesi
Boş,Daire,16-20,3,120,130,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,150.0,22000.0,Mamak,Kartaltepe Mahallesi
Boş,Daire,16-20,3,100,110,2.Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,275.0,27000.0,Etimesgut,Süvari Mahallesi
Boş,Daire,21 Ve Üzeri,5,85,500,Çatı Katı,Hayır,Kombi Doğalgaz,1,2+1,Var,850.0,21000.0,Çankaya,Fakülteler Mahallesi
Boş,Daire,21 Ve Üzeri,4,125,130,Kot 3 (-3).Kat,Hayır,Kombi Doğalgaz,1,3+1,Var,250.0,25000.0,Altındağ,Örnek Mahallesi
Boş,Daire,21 Ve Üzeri,11,55,60,3.Kat,Hayır,Merkezi (Pay Ölçer),1,1+1,Var,275.0,25500.0,Etimesgut,Şehit Osman Avcı Mahallesi
Boş,Daire,5-10,7,100,115,Düz Giriş (Zemin),Hayır,Merkezi (Pay Ölçer),2,3+1,Var,150.0,22500.0,Mamak,Hüseyingazi Mahallesi
Boş,Daire,21 Ve Üzeri,5,65,70,5.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,50.0,11000.0,Altındağ,Örnek Mahallesi
Boş,Daire,21 Ve Üzeri,5,65,70,5.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,50.0,11000.0,Altındağ,Örnek Mahallesi
Boş,Daire,11-15,5,80,90,5.Kat,Hayır,Kombi Doğalgaz,1,2+1,Var,200.0,26000.0,Etimesgut,Topçu Mahallesi
Boş,Daire,21 Ve Üzeri,4,84,86,Düz Giriş (Zemin),Hayır,Merkezi Doğalgaz,1,3+1,Var,275.0,24500.0,Etimesgut,Şeyh Şamil Mahallesi
Boş,Daire,21 Ve Üzeri,4,65,70,Yüksek Giriş,Hayır,Kombi Doğalgaz,1,2+1,Var,50.0,10000.0,Altındağ,Örnek Mahallesi
